Dataset,Shots,Parameterization,Model,MIA,DP,p,FPR
CIFAR10,100,Head,ViT,ACC-LiRA,-1,0.873015873015873,0.001
CIFAR10,100,Head,ViT,ACC-LiRA,-1,0.873015873015873,0.01
CIFAR10,100,Head,ViT,ACC-LiRA,-1,1.0,0.1
CIFAR10,100,Head,ViT,WB-LiRA,-1,0.873015873015873,0.001
CIFAR10,100,Head,ViT,WB-LiRA,-1,0.35714285714285715,0.01
CIFAR10,100,Head,ViT,WB-LiRA,-1,0.873015873015873,0.1
CIFAR10,100,Head,ViT,KL-LiRA,-1,0.873015873015873,0.001
CIFAR10,100,Head,ViT,KL-LiRA,-1,0.35714285714285715,0.01
CIFAR10,100,Head,ViT,KL-LiRA,-1,0.873015873015873,0.1
CIFAR10,100,Head,ViT,ACC-LiRA,8,0.873015873015873,0.001
CIFAR10,100,Head,ViT,ACC-LiRA,8,0.35714285714285715,0.01
CIFAR10,100,Head,ViT,ACC-LiRA,8,0.873015873015873,0.1
CIFAR10,100,Head,ViT,WB-LiRA,8,0.35714285714285715,0.001
CIFAR10,100,Head,ViT,WB-LiRA,8,0.35714285714285715,0.01
CIFAR10,100,Head,ViT,WB-LiRA,8,0.873015873015873,0.1
CIFAR10,100,Head,ViT,KL-LiRA,8,1.0,0.001
CIFAR10,100,Head,ViT,KL-LiRA,8,1.0,0.01
CIFAR10,100,Head,ViT,KL-LiRA,8,0.873015873015873,0.1
CIFAR10,100,Head,ViT,ACC-LiRA,1,0.35714285714285715,0.001
CIFAR10,100,Head,ViT,ACC-LiRA,1,0.35714285714285715,0.01
CIFAR10,100,Head,ViT,ACC-LiRA,1,0.873015873015873,0.1
CIFAR10,100,Head,ViT,WB-LiRA,1,0.873015873015873,0.001
CIFAR10,100,Head,ViT,WB-LiRA,1,0.873015873015873,0.01
CIFAR10,100,Head,ViT,WB-LiRA,1,0.35714285714285715,0.1
CIFAR10,100,Head,ViT,KL-LiRA,1,1.0,0.001
CIFAR10,100,Head,ViT,KL-LiRA,1,0.873015873015873,0.01
CIFAR10,100,Head,ViT,KL-LiRA,1,0.873015873015873,0.1
CIFAR10,50,Head,ViT,ACC-LiRA,-1,0.35714285714285715,0.001
CIFAR10,50,Head,ViT,ACC-LiRA,-1,0.35714285714285715,0.01
CIFAR10,50,Head,ViT,ACC-LiRA,-1,0.873015873015873,0.1
CIFAR10,50,Head,ViT,WB-LiRA,-1,0.873015873015873,0.001
CIFAR10,50,Head,ViT,WB-LiRA,-1,0.873015873015873,0.01
CIFAR10,50,Head,ViT,WB-LiRA,-1,0.873015873015873,0.1
CIFAR10,50,Head,ViT,KL-LiRA,-1,0.07936507936507936,0.001
CIFAR10,50,Head,ViT,KL-LiRA,-1,0.873015873015873,0.01
CIFAR10,50,Head,ViT,KL-LiRA,-1,0.873015873015873,0.1
CIFAR10,50,Head,ViT,ACC-LiRA,8,0.873015873015873,0.001
CIFAR10,50,Head,ViT,ACC-LiRA,8,0.873015873015873,0.01
CIFAR10,50,Head,ViT,ACC-LiRA,8,0.35714285714285715,0.1
CIFAR10,50,Head,ViT,WB-LiRA,8,0.35714285714285715,0.001
CIFAR10,50,Head,ViT,WB-LiRA,8,0.873015873015873,0.01
CIFAR10,50,Head,ViT,WB-LiRA,8,0.873015873015873,0.1
CIFAR10,50,Head,ViT,KL-LiRA,8,0.873015873015873,0.001
CIFAR10,50,Head,ViT,KL-LiRA,8,0.873015873015873,0.01
CIFAR10,50,Head,ViT,KL-LiRA,8,1.0,0.1
CIFAR10,100,Head,R50,ACC-LiRA,-1,0.873015873015873,0.001
CIFAR10,100,Head,R50,ACC-LiRA,-1,1.0,0.01
CIFAR10,100,Head,R50,ACC-LiRA,-1,1.0,0.1
CIFAR10,100,Head,R50,WB-LiRA,-1,0.873015873015873,0.001
CIFAR10,100,Head,R50,WB-LiRA,-1,0.873015873015873,0.01
CIFAR10,100,Head,R50,WB-LiRA,-1,1.0,0.1
CIFAR10,100,Head,R50,KL-LiRA,-1,0.873015873015873,0.001
CIFAR10,100,Head,R50,KL-LiRA,-1,1.0,0.01
CIFAR10,100,Head,R50,KL-LiRA,-1,1.0,0.1
CIFAR10,50,Head,R50,ACC-LiRA,-1,0.873015873015873,0.001
CIFAR10,50,Head,R50,ACC-LiRA,-1,0.873015873015873,0.01
CIFAR10,50,Head,R50,ACC-LiRA,-1,0.873015873015873,0.1
CIFAR10,50,Head,R50,WB-LiRA,-1,0.35714285714285715,0.001
CIFAR10,50,Head,R50,WB-LiRA,-1,0.873015873015873,0.01
CIFAR10,50,Head,R50,WB-LiRA,-1,0.873015873015873,0.1
CIFAR10,50,Head,R50,KL-LiRA,-1,0.35714285714285715,0.001
CIFAR10,50,Head,R50,KL-LiRA,-1,0.873015873015873,0.01
CIFAR10,50,Head,R50,KL-LiRA,-1,1.0,0.1
CIFAR10,100,Head,R50,ACC-LiRA,8,1.0,0.001
CIFAR10,100,Head,R50,ACC-LiRA,8,0.873015873015873,0.01
CIFAR10,100,Head,R50,ACC-LiRA,8,0.35714285714285715,0.1
CIFAR10,100,Head,R50,WB-LiRA,8,0.35714285714285715,0.001
CIFAR10,100,Head,R50,WB-LiRA,8,0.35714285714285715,0.01
CIFAR10,100,Head,R50,WB-LiRA,8,0.873015873015873,0.1
CIFAR10,100,Head,R50,KL-LiRA,8,0.873015873015873,0.001
CIFAR10,100,Head,R50,KL-LiRA,8,0.35714285714285715,0.01
CIFAR10,100,Head,R50,KL-LiRA,8,0.35714285714285715,0.1
CIFAR10,100,Head,R50,ACC-LiRA,1,0.35714285714285715,0.001
CIFAR10,100,Head,R50,ACC-LiRA,1,0.35714285714285715,0.01
CIFAR10,100,Head,R50,ACC-LiRA,1,1.0,0.1
CIFAR10,100,Head,R50,WB-LiRA,1,0.007936507936507936,0.001
CIFAR10,100,Head,R50,WB-LiRA,1,0.07936507936507936,0.01
CIFAR10,100,Head,R50,WB-LiRA,1,0.873015873015873,0.1
CIFAR10,100,Head,R50,KL-LiRA,1,0.873015873015873,0.001
CIFAR10,100,Head,R50,KL-LiRA,1,0.873015873015873,0.01
CIFAR10,100,Head,R50,KL-LiRA,1,0.873015873015873,0.1
CIFAR100,100,Head,ViT,ACC-LiRA,-1,0.873015873015873,0.001
CIFAR100,100,Head,ViT,ACC-LiRA,-1,0.873015873015873,0.01
CIFAR100,100,Head,ViT,ACC-LiRA,-1,0.873015873015873,0.1
CIFAR100,100,Head,ViT,WB-LiRA,-1,0.873015873015873,0.001
CIFAR100,100,Head,ViT,WB-LiRA,-1,0.873015873015873,0.01
CIFAR100,100,Head,ViT,WB-LiRA,-1,0.873015873015873,0.1
CIFAR100,100,Head,ViT,KL-LiRA,-1,0.873015873015873,0.001
CIFAR100,100,Head,ViT,KL-LiRA,-1,0.873015873015873,0.01
CIFAR100,100,Head,ViT,KL-LiRA,-1,0.873015873015873,0.1
CIFAR100,50,Head,R50,ACC-LiRA,-1,0.873015873015873,0.001
CIFAR100,50,Head,R50,ACC-LiRA,-1,0.873015873015873,0.01
CIFAR100,50,Head,R50,ACC-LiRA,-1,0.873015873015873,0.1
CIFAR100,50,Head,R50,WB-LiRA,-1,0.07936507936507936,0.001
CIFAR100,50,Head,R50,WB-LiRA,-1,0.873015873015873,0.01
CIFAR100,50,Head,R50,WB-LiRA,-1,1.0,0.1
CIFAR100,50,Head,R50,KL-LiRA,-1,0.35714285714285715,0.001
CIFAR100,50,Head,R50,KL-LiRA,-1,0.35714285714285715,0.01
CIFAR100,50,Head,R50,KL-LiRA,-1,0.873015873015873,0.1
CIFAR100,100,Head,ViT,ACC-LiRA,8,0.35714285714285715,0.001
CIFAR100,100,Head,ViT,ACC-LiRA,8,0.35714285714285715,0.01
CIFAR100,100,Head,ViT,ACC-LiRA,8,0.35714285714285715,0.1
CIFAR100,100,Head,ViT,WB-LiRA,8,0.35714285714285715,0.001
CIFAR100,100,Head,ViT,WB-LiRA,8,0.35714285714285715,0.01
CIFAR100,100,Head,ViT,WB-LiRA,8,0.07936507936507936,0.1
CIFAR100,100,Head,ViT,KL-LiRA,8,0.07936507936507936,0.001
CIFAR100,100,Head,ViT,KL-LiRA,8,0.873015873015873,0.01
CIFAR100,100,Head,ViT,KL-LiRA,8,0.873015873015873,0.1
CIFAR100,50,Head,ViT,ACC-LiRA,1,0.35714285714285715,0.001
CIFAR100,50,Head,ViT,ACC-LiRA,1,0.07936507936507936,0.01
CIFAR100,50,Head,ViT,ACC-LiRA,1,0.35714285714285715,0.1
CIFAR100,50,Head,ViT,WB-LiRA,1,0.873015873015873,0.001
CIFAR100,50,Head,ViT,WB-LiRA,1,0.873015873015873,0.01
CIFAR100,50,Head,ViT,WB-LiRA,1,1.0,0.1
CIFAR100,50,Head,ViT,KL-LiRA,1,0.35714285714285715,0.001
CIFAR100,50,Head,ViT,KL-LiRA,1,0.07936507936507936,0.01
CIFAR100,50,Head,ViT,KL-LiRA,1,0.07936507936507936,0.1
CIFAR10,50,FiLM,R50,ACC-LiRA,-1,0.35714285714285715,0.001
CIFAR10,50,FiLM,R50,ACC-LiRA,-1,0.35714285714285715,0.01
CIFAR10,50,FiLM,R50,ACC-LiRA,-1,0.35714285714285715,0.1
CIFAR10,50,FiLM,R50,WB-LiRA,-1,0.07936507936507936,0.001
CIFAR10,50,FiLM,R50,WB-LiRA,-1,0.07936507936507936,0.01
CIFAR10,50,FiLM,R50,WB-LiRA,-1,0.873015873015873,0.1
CIFAR10,50,FiLM,R50,KL-LiRA,-1,0.35714285714285715,0.001
CIFAR10,50,FiLM,R50,KL-LiRA,-1,0.07936507936507936,0.01
CIFAR10,50,FiLM,R50,KL-LiRA,-1,0.873015873015873,0.1
CIFAR10,50,FiLM,R50,ACC-LiRA,8,0.873015873015873,0.001
CIFAR10,50,FiLM,R50,ACC-LiRA,8,0.873015873015873,0.01
CIFAR10,50,FiLM,R50,ACC-LiRA,8,0.873015873015873,0.1
CIFAR10,50,FiLM,R50,WB-LiRA,8,1.0,0.001
CIFAR10,50,FiLM,R50,WB-LiRA,8,0.873015873015873,0.01
CIFAR10,50,FiLM,R50,WB-LiRA,8,0.873015873015873,0.1
CIFAR10,50,FiLM,R50,KL-LiRA,8,0.873015873015873,0.001
CIFAR10,50,FiLM,R50,KL-LiRA,8,0.873015873015873,0.01
CIFAR10,50,FiLM,R50,KL-LiRA,8,0.35714285714285715,0.1
CIFAR10,50,FiLM,R50,ACC-LiRA,1,0.873015873015873,0.001
CIFAR10,50,FiLM,R50,ACC-LiRA,1,0.873015873015873,0.01
CIFAR10,50,FiLM,R50,ACC-LiRA,1,0.873015873015873,0.1
CIFAR10,50,FiLM,R50,WB-LiRA,1,0.873015873015873,0.001
CIFAR10,50,FiLM,R50,WB-LiRA,1,0.35714285714285715,0.01
CIFAR10,50,FiLM,R50,WB-LiRA,1,0.07936507936507936,0.1
CIFAR10,50,FiLM,R50,KL-LiRA,1,0.873015873015873,0.001
CIFAR10,50,FiLM,R50,KL-LiRA,1,0.35714285714285715,0.01
CIFAR10,50,FiLM,R50,KL-LiRA,1,0.35714285714285715,0.1
