Dataset,Shots,Parameterization,Model,MIA,DP,W,FPR,mu_diff
CIFAR10,100,Head,ViT,ACC-LiRA,-1,0.34600943704655446,0.001,0.0009591561540332003
CIFAR10,100,Head,ViT,ACC-LiRA,-1,0.6726085383962678,0.01,0.002068433144172807
CIFAR10,100,Head,ViT,ACC-LiRA,-1,0.3392428769359492,0.1,0.0008277986823954087
CIFAR10,100,Head,ViT,WB-LiRA,-1,0.3668795988106874,0.001,0.0006522008203566493
CIFAR10,100,Head,ViT,WB-LiRA,-1,1.2660350435528052,0.01,0.002214293863937039
CIFAR10,100,Head,ViT,WB-LiRA,-1,0.45120076105423995,0.1,0.0013492443477274296
CIFAR10,100,Head,ViT,KL-LiRA,-1,1.2836885723190465,0.001,0.010934125004167239
CIFAR10,100,Head,ViT,KL-LiRA,-1,1.928694525563906,0.01,0.006127329994962419
CIFAR10,100,Head,ViT,KL-LiRA,-1,0.9754900898862265,0.1,0.0028494007327552473
CIFAR10,100,Head,ViT,ACC-LiRA,8,-1.6856278200598613,0.001,-0.0003040567174340204
CIFAR10,100,Head,ViT,ACC-LiRA,8,-2.2091396569187576,0.01,-0.0018055986508324975
CIFAR10,100,Head,ViT,ACC-LiRA,8,-0.22903993703705453,0.1,-0.00025572201153051255
CIFAR10,100,Head,ViT,WB-LiRA,8,-1.349074892912446,0.001,-0.0003537544038875601
CIFAR10,100,Head,ViT,WB-LiRA,8,-1.2936143057541483,0.01,-0.0007788993843962019
CIFAR10,100,Head,ViT,WB-LiRA,8,-0.9913089805386583,0.1,-0.0020233810864917767
CIFAR10,100,Head,ViT,KL-LiRA,8,-0.49114633077873693,0.001,-0.00021248202913908
CIFAR10,100,Head,ViT,KL-LiRA,8,-0.873879130087463,0.01,-0.0009244322019867808
CIFAR10,100,Head,ViT,KL-LiRA,8,-0.5474025358326967,0.1,-0.0011096722240166168
CIFAR10,100,Head,ViT,ACC-LiRA,1,1.5969635294216444,0.001,0.00014737111809032017
CIFAR10,100,Head,ViT,ACC-LiRA,1,-0.0536572698408519,0.01,-1.691854913423753e-05
CIFAR10,100,Head,ViT,ACC-LiRA,1,0.9181265416586292,0.1,0.000994209746266267
CIFAR10,100,Head,ViT,WB-LiRA,1,-0.211905671601043,0.001,-2.1697477849479813e-05
CIFAR10,100,Head,ViT,WB-LiRA,1,0.7440712089765382,0.01,0.0003101974774226794
CIFAR10,100,Head,ViT,WB-LiRA,1,1.2943360486811875,0.1,0.0010331709588197735
CIFAR10,100,Head,ViT,KL-LiRA,1,0.2570004440710735,0.001,2.9525860880100143e-05
CIFAR10,100,Head,ViT,KL-LiRA,1,0.7109833024479828,0.01,0.00030393964380763874
CIFAR10,100,Head,ViT,KL-LiRA,1,-0.44536723330633476,0.1,-0.00036448324346061156
CIFAR10,50,Head,ViT,ACC-LiRA,-1,-2.0363687729133604,0.001,-0.0048235536691663555
CIFAR10,50,Head,ViT,ACC-LiRA,-1,-1.5975035906785904,0.01,-0.008472624552968551
CIFAR10,50,Head,ViT,ACC-LiRA,-1,-1.1339796058784444,0.1,-0.005998612170523304
CIFAR10,50,Head,ViT,WB-LiRA,-1,-0.009992328641207368,0.001,-4.657832170987253e-05
CIFAR10,50,Head,ViT,WB-LiRA,-1,0.12748680255882716,0.01,0.0007199761841392982
CIFAR10,50,Head,ViT,WB-LiRA,-1,1.0423283790986133,0.1,0.006115781499890227
CIFAR10,50,Head,ViT,KL-LiRA,-1,-0.07038562624697767,0.001,-0.0009044191527831369
CIFAR10,50,Head,ViT,KL-LiRA,-1,-0.31288065364248346,0.01,-0.002292873544096241
CIFAR10,50,Head,ViT,KL-LiRA,-1,0.1026676868975621,0.1,0.0005583511595935731
CIFAR10,50,Head,ViT,ACC-LiRA,8,-0.5531578818406225,0.001,-9.968922427017971e-05
CIFAR10,50,Head,ViT,ACC-LiRA,8,-0.6120716555258906,0.01,-0.0007629752780433201
CIFAR10,50,Head,ViT,ACC-LiRA,8,-1.7381991112636803,0.1,-0.0034183290095473606
CIFAR10,50,Head,ViT,WB-LiRA,8,1.359103702762426,0.001,0.00047985089713274004
CIFAR10,50,Head,ViT,WB-LiRA,8,-0.5607238360427778,0.01,-0.0004578866535815476
CIFAR10,50,Head,ViT,WB-LiRA,8,0.5580276714662683,0.1,0.000888409545857588
CIFAR10,50,Head,ViT,KL-LiRA,8,0.3409699088010981,0.001,0.0001936523442789802
CIFAR10,50,Head,ViT,KL-LiRA,8,0.8464303564816626,0.01,0.0009913763860426722
CIFAR10,50,Head,ViT,KL-LiRA,8,-0.22270172882800857,0.1,-0.0006614431776810481
CIFAR10,100,Head,R50,ACC-LiRA,-1,-1.019663464437904,0.001,-0.01657232333513184
CIFAR10,100,Head,R50,ACC-LiRA,-1,-0.44259640541120837,0.01,-0.014166447294285817
CIFAR10,100,Head,R50,ACC-LiRA,-1,-0.4394342635865972,0.1,-0.00836841769990565
CIFAR10,100,Head,R50,WB-LiRA,-1,0.8532060039333524,0.001,0.005569681114588554
CIFAR10,100,Head,R50,WB-LiRA,-1,0.40513630454609323,0.01,0.001085056702458509
CIFAR10,100,Head,R50,WB-LiRA,-1,-0.16409077532065028,0.1,-0.00048588161970397614
CIFAR10,100,Head,R50,KL-LiRA,-1,-0.7279807612122842,0.001,-0.009412596441449775
CIFAR10,100,Head,R50,KL-LiRA,-1,-0.4568425414102991,0.01,-0.001332282044049643
CIFAR10,100,Head,R50,KL-LiRA,-1,0.06291378151243468,0.1,0.00021528657213343294
CIFAR10,50,Head,R50,ACC-LiRA,-1,1.6541706417664526,0.001,0.03196140791976727
CIFAR10,50,Head,R50,ACC-LiRA,-1,0.8562736475390715,0.01,0.012506869233302548
CIFAR10,50,Head,R50,ACC-LiRA,-1,1.3933458510566343,0.1,0.01289255682765178
CIFAR10,50,Head,R50,WB-LiRA,-1,1.3998477599986157,0.001,0.010346096704201224
CIFAR10,50,Head,R50,WB-LiRA,-1,0.6433314320810003,0.01,0.004050038736558292
CIFAR10,50,Head,R50,WB-LiRA,-1,0.5229155833499904,0.1,0.002418325833216106
CIFAR10,50,Head,R50,KL-LiRA,-1,2.4365139757115593,0.001,0.017049935091204588
CIFAR10,50,Head,R50,KL-LiRA,-1,0.8870888272803303,0.01,0.005417547196166161
CIFAR10,50,Head,R50,KL-LiRA,-1,0.5518636806950825,0.1,0.0024680065325015654
CIFAR10,100,Head,R50,ACC-LiRA,8,-0.17915675715768048,0.001,-4.4970842013780394e-05
CIFAR10,100,Head,R50,ACC-LiRA,8,0.7444410257685932,0.01,0.0006594546650746796
CIFAR10,100,Head,R50,ACC-LiRA,8,-0.6992169060752225,0.1,-0.0011551278399592746
CIFAR10,100,Head,R50,WB-LiRA,8,-0.6396633654929613,0.001,-0.00017371650215232057
CIFAR10,100,Head,R50,WB-LiRA,8,-1.65056920609478,0.01,-0.000812634150713254
CIFAR10,100,Head,R50,WB-LiRA,8,-0.7209446814192808,0.1,-0.0012483560981137731
CIFAR10,100,Head,R50,KL-LiRA,8,0.7479609463973403,0.001,0.00013023797393123954
CIFAR10,100,Head,R50,KL-LiRA,8,2.1974679056798885,0.01,0.0012951776333415856
CIFAR10,100,Head,R50,KL-LiRA,8,1.4391488959995882,0.1,0.002917367648800434
CIFAR10,100,Head,R50,ACC-LiRA,1,-1.0430287270755467,0.001,-0.00010239526615585985
CIFAR10,100,Head,R50,ACC-LiRA,1,-0.49182456254053686,0.01,-0.00019225439878655867
CIFAR10,100,Head,R50,ACC-LiRA,1,0.23536990130787327,0.1,0.0003646938544757117
CIFAR10,100,Head,R50,WB-LiRA,1,-2.9802987161316867,0.001,-0.00023575466281725976
CIFAR10,100,Head,R50,WB-LiRA,1,-2.17878057249196,0.01,-0.0005848581826050601
CIFAR10,100,Head,R50,WB-LiRA,1,-0.20072352609614422,0.1,-0.00014603860496720245
CIFAR10,100,Head,R50,KL-LiRA,1,0.6723148992465044,0.001,6.360750015886032e-05
CIFAR10,100,Head,R50,KL-LiRA,1,-0.8245123697329263,0.01,-0.0003505768910735795
CIFAR10,100,Head,R50,KL-LiRA,1,0.29284116896800516,0.1,0.0002959621387289141
CIFAR100,100,Head,ViT,ACC-LiRA,-1,-1.6708507279818514,0.001,-0.0004092935950579194
CIFAR100,100,Head,ViT,ACC-LiRA,-1,-1.0677292749945224,0.01,-0.0012705083520518773
CIFAR100,100,Head,ViT,ACC-LiRA,-1,-0.6750143160470585,0.1,-0.0013804950969588392
CIFAR100,100,Head,ViT,WB-LiRA,-1,0.6041096378876294,0.001,0.00894530496174277
CIFAR100,100,Head,ViT,WB-LiRA,-1,0.6553533732062193,0.01,0.0030292450614587407
CIFAR100,100,Head,ViT,WB-LiRA,-1,-0.1748054525572838,0.1,-0.000957811662523067
CIFAR100,100,Head,ViT,KL-LiRA,-1,-0.4911329753175701,0.001,-0.002590703742915784
CIFAR100,100,Head,ViT,KL-LiRA,-1,-0.32849544695948746,0.01,-0.0017887350350770104
CIFAR100,100,Head,ViT,KL-LiRA,-1,-0.14965238922805002,0.1,-0.0008658494012673268
CIFAR100,50,Head,R50,ACC-LiRA,-1,0.9864320075807034,0.001,0.0028424728752628435
CIFAR100,50,Head,R50,ACC-LiRA,-1,0.2698499305968292,0.01,0.0029925434166496456
CIFAR100,50,Head,R50,ACC-LiRA,-1,-0.43033910536139414,0.1,-0.007358087294377813
CIFAR100,50,Head,R50,WB-LiRA,-1,-2.7919454543823714,0.001,-0.03876031630820587
CIFAR100,50,Head,R50,WB-LiRA,-1,-0.6176870029292916,0.01,-0.008905246955847268
CIFAR100,50,Head,R50,WB-LiRA,-1,-0.06468575507624043,0.1,-0.0007549389742125268
CIFAR100,50,Head,R50,KL-LiRA,-1,-2.67303819919026,0.001,-0.05368540867981922
CIFAR100,50,Head,R50,KL-LiRA,-1,-1.7635090786505645,0.01,-0.043415499546641256
CIFAR100,50,Head,R50,KL-LiRA,-1,-1.4508279178028203,0.1,-0.030616526790141707
CIFAR100,100,Head,ViT,ACC-LiRA,8,-1.587586273602208,0.001,-0.0002306874186536992
CIFAR100,100,Head,ViT,ACC-LiRA,8,-1.8758042156238242,0.01,-0.0010889053924408518
CIFAR100,100,Head,ViT,ACC-LiRA,8,-1.559462368307729,0.1,-0.001366842480098801
CIFAR100,100,Head,ViT,WB-LiRA,8,1.4283621920729346,0.001,0.00020709878581737923
CIFAR100,100,Head,ViT,WB-LiRA,8,2.2241038369590145,0.01,0.0007541821049310976
CIFAR100,100,Head,ViT,WB-LiRA,8,2.8021089466347946,0.1,0.0018872803219480982
CIFAR100,100,Head,ViT,KL-LiRA,8,-1.363873054245795,0.001,-0.0003748633160150592
CIFAR100,100,Head,ViT,KL-LiRA,8,-1.0356248804222496,0.01,-0.001216979811473444
CIFAR100,100,Head,ViT,KL-LiRA,8,-0.11550151550563396,0.1,-0.00020065694328552652
CIFAR100,50,Head,ViT,ACC-LiRA,1,-0.8954306354377354,0.001,-5.645282689995977e-05
CIFAR100,50,Head,ViT,ACC-LiRA,1,-3.708316995177541,0.01,-0.0005036983499055996
CIFAR100,50,Head,ViT,ACC-LiRA,1,-0.9207676906105609,0.1,-0.0004863687380949333
CIFAR100,50,Head,ViT,WB-LiRA,1,0.6162143588369964,0.001,2.9163103848539595e-05
CIFAR100,50,Head,ViT,WB-LiRA,1,0.554338614779543,0.01,0.00012409771358967876
CIFAR100,50,Head,ViT,WB-LiRA,1,-0.5077461006015433,0.1,-0.0002598602790084559
CIFAR100,50,Head,ViT,KL-LiRA,1,-1.1497393386732613,0.001,-5.64470030418999e-05
CIFAR100,50,Head,ViT,KL-LiRA,1,-1.468890132294421,0.01,-0.00017120839902121966
CIFAR100,50,Head,ViT,KL-LiRA,1,-2.1333746549417665,0.1,-0.000765805886568216
CIFAR10,50,FiLM,R50,ACC-LiRA,-1,1.5795216610610414,0.001,0.015994050827486915
CIFAR10,50,FiLM,R50,ACC-LiRA,-1,1.9117208532132317,0.01,0.02100075314573896
CIFAR10,50,FiLM,R50,ACC-LiRA,-1,1.1768837093429123,0.1,0.009656690792344491
CIFAR10,50,FiLM,R50,WB-LiRA,-1,2.1120931761472463,0.001,0.014863564074983404
CIFAR10,50,FiLM,R50,WB-LiRA,-1,2.584884639591601,0.01,0.00833698408078376
CIFAR10,50,FiLM,R50,WB-LiRA,-1,1.3693797964582015,0.1,0.003949571939494079
CIFAR10,50,FiLM,R50,KL-LiRA,-1,2.803275272191765,0.001,0.008315328859438503
CIFAR10,50,FiLM,R50,KL-LiRA,-1,1.7473508582962929,0.01,0.006759327017717892
CIFAR10,50,FiLM,R50,KL-LiRA,-1,0.753877321869906,0.1,0.003097100647029616
CIFAR10,50,FiLM,R50,ACC-LiRA,8,-0.21172121348597575,0.001,-0.00012401289920907976
CIFAR10,50,FiLM,R50,ACC-LiRA,8,-0.6009475991196654,0.01,-0.0007696284653972811
CIFAR10,50,FiLM,R50,ACC-LiRA,8,-1.5869147872013818,0.1,-0.0046544178699151895
CIFAR10,50,FiLM,R50,WB-LiRA,8,-0.13810428260387567,0.001,-6.819928715111941e-05
CIFAR10,50,FiLM,R50,WB-LiRA,8,0.22964480864307088,0.01,0.00027337007676456193
CIFAR10,50,FiLM,R50,WB-LiRA,8,-0.9694262491202894,0.1,-0.001953863196041211
CIFAR10,50,FiLM,R50,KL-LiRA,8,0.9740247369784827,0.001,0.0002792972965263798
CIFAR10,50,FiLM,R50,KL-LiRA,8,-0.8460793981455572,0.01,-0.0008742180677860402
CIFAR10,50,FiLM,R50,KL-LiRA,8,-0.8096606059271982,0.1,-0.0025424674804985226
CIFAR10,50,FiLM,R50,ACC-LiRA,1,-0.48725224805301565,0.001,-9.91870455124401e-05
CIFAR10,50,FiLM,R50,ACC-LiRA,1,1.3567464045790318,0.01,0.0008875808805222981
CIFAR10,50,FiLM,R50,ACC-LiRA,1,1.4546572738226164,0.1,0.003177755886023023
CIFAR10,50,FiLM,R50,WB-LiRA,1,-0.7342199715884308,0.001,-0.00014264064441823977
CIFAR10,50,FiLM,R50,WB-LiRA,1,-1.2432123111879023,0.01,-0.0006948869452398001
CIFAR10,50,FiLM,R50,WB-LiRA,1,-1.80851882964375,0.1,-0.0032636281324151944
CIFAR10,50,FiLM,R50,KL-LiRA,1,-0.8351572429220881,0.001,-0.0002172540718829801
CIFAR10,50,FiLM,R50,KL-LiRA,1,-0.9702653977799038,0.01,-0.00039713864169617884
CIFAR10,50,FiLM,R50,KL-LiRA,1,0.4573928991013029,0.1,0.0007080515747810018
